,Date,Time,CO(GT),Nonmethane Hydrocarbons,Benzene,Nitrogen Oxides,Nitrogen Dioxide,T
91,2004-03-14,13:00:00,2.0,93.0,7.5,113.0,104.0,21.2
92,2004-03-14,14:00:00,1.8,84.0,7.5,103.0,102.0,21.4
93,2004-03-14,15:00:00,1.9,99.0,8.2,112.0,107.0,21.9
94,2004-03-14,16:00:00,3.0,150.0,11.9,170.0,129.0,22.2
95,2004-03-14,17:00:00,2.9,156.0,12.0,180.0,128.0,21.3
96,2004-03-14,18:00:00,2.5,122.0,12.2,160.0,121.0,19.7
97,2004-03-14,19:00:00,4.6,262.0,20.6,261.0,157.0,18.4
98,2004-03-14,20:00:00,5.9,341.0,23.1,325.0,173.0,17.6
99,2004-03-14,21:00:00,3.4,214.0,14.7,217.0,146.0,16.7
100,2004-03-14,22:00:00,2.1,100.0,9.0,146.0,121.0,16.3
101,2004-03-14,23:00:00,2.2,79.0,8.8,152.0,119.0,14.7
102,2004-03-15,0:00:00,1.8,66.0,7.4,104.0,99.0,14.8
103,2004-03-15,1:00:00,1.8,73.0,6.9,106.0,93.0,14.0
104,2004-03-15,2:00:00,1.8,66.0,7.0,108.0,88.0,13.4
107,2004-03-15,5:00:00,1.0,39.0,3.9,88.0,74.0,11.9
108,2004-03-15,6:00:00,1.4,51.0,6.4,138.0,80.0,11.4
109,2004-03-15,7:00:00,2.2,107.0,9.7,228.0,89.0,11.3
110,2004-03-15,8:00:00,5.5,336.0,25.9,360.0,114.0,12.4
111,2004-03-15,9:00:00,8.1,618.0,36.7,478.0,149.0,14.8
112,2004-03-15,10:00:00,5.8,438.0,26.6,394.0,157.0,17.4
113,2004-03-15,11:00:00,4.2,334.0,20.1,319.0,155.0,19.8
114,2004-03-15,12:00:00,3.1,221.0,14.1,201.0,134.0,22.0
115,2004-03-15,13:00:00,2.9,207.0,14.9,171.0,119.0,23.3
116,2004-03-15,14:00:00,2.9,191.0,15.4,159.0,111.0,23.9
117,2004-03-15,15:00:00,2.5,185.0,12.1,153.0,104.0,24.4
118,2004-03-15,16:00:00,2.3,141.0,11.5,143.0,99.0,24.4
119,2004-03-15,17:00:00,2.8,214.0,14.8,156.0,110.0,23.8
120,2004-03-15,18:00:00,6.1,471.0,32.1,314.0,162.0,22.5
121,2004-03-15,19:00:00,8.0,685.0,39.2,404.0,187.0,20.4
122,2004-03-15,20:00:00,6.5,538.0,31.0,320.0,165.0,18.3
123,2004-03-15,21:00:00,4.2,319.0,19.9,256.0,145.0,16.7
124,2004-03-15,22:00:00,3.2,224.0,15.3,193.0,125.0,15.7
125,2004-03-15,23:00:00,1.4,67.0,6.9,89.0,101.0,15.3
126,2004-03-16,0:00:00,2.1,155.0,11.1,127.0,103.0,14.1
127,2004-03-16,1:00:00,1.2,49.0,5.4,79.0,88.0,14.8
128,2004-03-16,2:00:00,0.8,29.0,2.8,43.0,61.0,14.8
131,2004-03-16,5:00:00,0.6,17.0,2.0,38.0,52.0,12.8
132,2004-03-16,6:00:00,0.9,27.0,3.5,82.0,64.0,11.2
133,2004-03-16,7:00:00,1.3,50.0,5.1,99.0,70.0,11.0
134,2004-03-16,8:00:00,3.4,218.0,16.2,263.0,97.0,11.7
135,2004-03-16,9:00:00,3.7,285.0,19.7,229.0,95.0,13.6
136,2004-03-16,10:00:00,5.3,437.0,25.1,396.0,150.0,17.8
137,2004-03-16,11:00:00,4.1,327.0,20.0,314.0,162.0,21.4
138,2004-03-16,12:00:00,3.3,283.0,18.3,217.0,154.0,24.4
139,2004-03-16,13:00:00,4.0,366.0,22.3,252.0,161.0,25.3
140,2004-03-16,14:00:00,3.8,318.0,20.4,263.0,161.0,25.8
141,2004-03-16,15:00:00,2.8,228.0,14.6,180.0,128.0,27.0
142,2004-03-16,16:00:00,2.9,201.0,16.6,184.0,129.0,28.2
143,2004-03-16,17:00:00,2.9,199.0,15.8,190.0,133.0,28.0
144,2004-03-16,18:00:00,3.4,237.0,17.8,184.0,139.0,23.9
145,2004-03-16,19:00:00,3.9,261.0,19.1,181.0,137.0,21.3
146,2004-03-16,20:00:00,3.2,230.0,15.8,166.0,143.0,20.4
147,2004-03-16,21:00:00,5.1,349.0,24.9,317.0,177.0,19.0
148,2004-03-16,22:00:00,2.6,183.0,13.5,184.0,138.0,17.9
149,2004-03-16,23:00:00,1.7,88.0,9.1,130.0,117.0,16.7
150,2004-03-17,0:00:00,1.7,85.0,8.6,132.0,107.0,15.5
151,2004-03-17,1:00:00,1.2,47.0,5.4,95.0,90.0,15.5
152,2004-03-17,2:00:00,0.9,34.0,4.1,70.0,79.0,14.1
155,2004-03-17,5:00:00,0.5,11.0,1.6,28.0,40.0,11.8
156,2004-03-17,6:00:00,0.5,18.0,1.9,46.0,53.0,11.9
157,2004-03-17,7:00:00,1.6,84.0,7.5,160.0,84.0,9.9
158,2004-03-17,8:00:00,4.1,260.0,21.4,320.0,108.0,11.1
159,2004-03-17,9:00:00,6.6,534.0,36.4,377.0,127.0,14.1
160,2004-03-17,10:00:00,4.3,368.0,21.3,280.0,134.0,17.7
161,2004-03-17,11:00:00,2.9,200.0,15.4,221.0,135.0,21.1
162,2004-03-17,12:00:00,2.5,145.0,12.5,210.0,142.0,24.3
163,2004-03-17,13:00:00,2.8,188.0,15.1,204.0,153.0,25.6
164,2004-03-17,14:00:00,2.6,152.0,13.7,161.0,123.0,25.9
165,2004-03-17,15:00:00,2.0,103.0,10.4,135.0,104.0,26.8
166,2004-03-17,16:00:00,2.9,193.0,15.2,186.0,129.0,29.3
167,2004-03-17,17:00:00,2.5,134.0,12.3,147.0,114.0,28.5
168,2004-03-17,18:00:00,5.0,386.0,27.0,299.0,158.0,25.9
169,2004-03-17,19:00:00,7.6,577.0,38.4,411.0,194.0,23.1
170,2004-03-17,20:00:00,6.7,523.0,35.1,347.0,182.0,20.5
171,2004-03-17,21:00:00,5.7,472.0,27.2,336.0,180.0,19.1
172,2004-03-17,22:00:00,2.8,206.0,15.0,202.0,136.0,17.2
173,2004-03-17,23:00:00,2.6,216.0,15.7,178.0,127.0,16.0
174,2004-03-18,0:00:00,2.3,159.0,13.0,154.0,116.0,14.8
175,2004-03-18,1:00:00,1.4,70.0,8.1,92.0,107.0,14.3
176,2004-03-18,2:00:00,1.0,44.0,5.5,61.0,88.0,14.8
179,2004-03-18,5:00:00,0.6,20.0,2.5,37.0,57.0,12.0
180,2004-03-18,6:00:00,0.7,26.0,3.0,68.0,71.0,10.9
181,2004-03-18,7:00:00,1.5,78.0,7.7,139.0,85.0,10.6
182,2004-03-18,8:00:00,4.7,319.0,23.3,339.0,124.0,11.5
183,2004-03-18,9:00:00,6.6,506.0,35.8,421.0,151.0,14.3
286,2004-03-22,16:00:00,2.3,451.0,11.6,150.0,101.0,21.3
287,2004-03-22,17:00:00,2.6,185.0,12.4,138.0,103.0,20.2
288,2004-03-22,18:00:00,3.8,426.0,18.3,213.0,129.0,17.0
289,2004-03-22,19:00:00,4.4,672.0,21.0,232.0,143.0,15.6
290,2004-03-22,20:00:00,4.5,624.0,21.0,238.0,146.0,15.3
291,2004-03-22,21:00:00,3.3,325.0,14.5,180.0,124.0,14.5
292,2004-03-22,22:00:00,2.0,143.0,8.4,128.0,113.0,13.9
293,2004-03-22,23:00:00,1.1,89.0,4.3,65.0,80.0,14.5
294,2004-03-23,0:00:00,0.9,73.0,3.8,53.0,72.0,13.8
295,2004-03-23,1:00:00,0.8,48.0,2.7,47.0,64.0,14.0
296,2004-03-23,2:00:00,0.7,47.0,2.5,51.0,70.0,13.0
299,2004-03-23,5:00:00,0.3,19.0,0.6,13.0,22.0,8.8
300,2004-03-23,6:00:00,0.5,26.0,1.8,33.0,47.0,9.6
301,2004-03-23,7:00:00,1.1,60.0,4.6,103.0,88.0,9.8
302,2004-03-23,8:00:00,3.0,248.0,14.2,224.0,130.0,10.0
303,2004-03-23,9:00:00,3.8,535.0,21.0,244.0,132.0,11.2
304,2004-03-23,10:00:00,3.4,340.0,16.2,237.0,132.0,12.0
305,2004-03-23,11:00:00,3.0,325.0,15.5,220.0,131.0,12.8
306,2004-03-23,12:00:00,2.7,267.0,13.4,207.0,129.0,13.1
307,2004-03-23,13:00:00,3.5,325.0,16.9,208.0,132.0,13.8
308,2004-03-23,14:00:00,2.8,268.0,12.4,160.0,110.0,16.0
309,2004-03-23,15:00:00,1.9,136.0,10.1,131.0,99.0,14.1
310,2004-03-23,16:00:00,2.0,118.0,8.7,128.0,100.0,12.0
311,2004-03-23,17:00:00,3.0,276.0,13.8,176.0,122.0,13.6
312,2004-03-23,18:00:00,1.9,151.0,9.3,107.0,97.0,13.7
313,2004-03-23,19:00:00,2.7,236.0,13.0,131.0,112.0,11.7
314,2004-03-23,20:00:00,3.3,220.0,14.3,166.0,128.0,11.5
315,2004-03-23,21:00:00,1.7,87.0,7.6,89.0,101.0,12.6
316,2004-03-23,22:00:00,1.3,81.0,5.3,81.0,96.0,12.0
317,2004-03-23,23:00:00,1.3,74.0,5.4,78.0,86.0,11.0
318,2004-03-24,0:00:00,1.2,55.0,4.9,70.0,85.0,11.1
319,2004-03-24,1:00:00,1.1,74.0,4.6,76.0,79.0,10.8
320,2004-03-24,2:00:00,0.9,35.0,2.7,43.0,61.0,11.3
323,2004-03-24,5:00:00,0.6,20.0,1.2,34.0,54.0,10.9
324,2004-03-24,6:00:00,0.8,32.0,1.7,43.0,57.0,10.8
325,2004-03-24,7:00:00,1.2,84.0,4.8,79.0,75.0,10.4
326,2004-03-24,8:00:00,3.1,245.0,13.8,174.0,97.0,11.0
327,2004-03-24,9:00:00,4.4,553.0,23.7,235.0,110.0,11.2
328,2004-03-24,10:00:00,3.4,450.0,14.2,218.0,113.0,12.1
329,2004-03-24,11:00:00,1.7,118.0,8.0,136.0,88.0,15.1
330,2004-03-24,12:00:00,1.5,118.0,6.7,117.0,85.0,15.6
331,2004-03-24,13:00:00,1.7,144.0,8.7,119.0,96.0,16.9
332,2004-03-24,14:00:00,2.2,159.0,10.8,126.0,106.0,16.6
334,2004-03-24,16:00:00,2.7,230.0,11.4,197.0,126.0,9.6
335,2004-03-24,17:00:00,2.8,320.0,13.4,195.0,130.0,11.7
336,2004-03-24,18:00:00,2.7,263.0,12.0,156.0,111.0,10.7
337,2004-03-24,19:00:00,4.5,556.0,20.2,247.0,134.0,10.7
338,2004-03-24,20:00:00,3.5,458.0,14.4,190.0,136.0,10.8
339,2004-03-24,21:00:00,2.6,214.0,9.4,169.0,125.0,10.3
340,2004-03-24,22:00:00,1.7,97.0,5.9,118.0,108.0,10.1
341,2004-03-24,23:00:00,1.3,79.0,4.5,81.0,87.0,10.4
342,2004-03-25,0:00:00,1.3,81.0,4.5,80.0,89.0,10.3
343,2004-03-25,1:00:00,1.0,52.0,2.5,42.0,58.0,11.0
344,2004-03-25,2:00:00,0.7,38.0,1.8,38.0,54.0,9.1
346,2004-03-25,4:00:00,0.5,29.0,0.9,18.0,28.0,9.3
347,2004-03-25,5:00:00,0.5,21.0,0.6,12.0,20.0,9.9
348,2004-03-25,6:00:00,0.6,46.0,1.4,43.0,51.0,7.6
349,2004-03-25,7:00:00,1.1,55.0,3.8,84.0,82.0,8.1
350,2004-03-25,8:00:00,2.7,271.0,11.6,184.0,112.0,8.7
351,2004-03-25,9:00:00,3.5,434.0,17.8,202.0,119.0,8.6
352,2004-03-25,10:00:00,2.3,300.0,8.8,133.0,99.0,9.7
353,2004-03-25,11:00:00,1.6,116.0,6.8,130.0,98.0,11.0
354,2004-03-25,12:00:00,1.3,95.0,5.9,106.0,88.0,13.6
355,2004-03-25,13:00:00,2.0,211.0,8.9,132.0,96.0,14.2
356,2004-03-25,14:00:00,1.9,168.0,8.2,106.0,81.0,14.2
357,2004-03-25,15:00:00,1.9,154.0,8.6,125.0,92.0,16.0
358,2004-03-25,16:00:00,2.2,267.0,10.1,138.0,105.0,17.7
359,2004-03-25,17:00:00,2.0,143.0,9.4,120.0,88.0,17.1
360,2004-03-25,18:00:00,2.9,374.0,14.6,158.0,103.0,14.9
361,2004-03-25,19:00:00,5.2,797.0,24.6,253.0,141.0,13.4
362,2004-03-25,20:00:00,4.6,698.0,21.6,231.0,133.0,12.6
363,2004-03-25,21:00:00,2.5,234.0,10.3,150.0,119.0,12.2
364,2004-03-25,22:00:00,1.5,104.0,5.7,99.0,106.0,10.6
365,2004-03-25,23:00:00,1.2,67.0,4.5,75.0,92.0,9.9
366,2004-03-26,0:00:00,1.7,88.0,5.5,93.0,97.0,9.6
367,2004-03-26,1:00:00,1.4,79.0,4.8,79.0,91.0,9.7
368,2004-03-26,2:00:00,1.2,61.0,3.6,67.0,83.0,9.4
370,2004-03-26,4:00:00,0.7,40.0,2.2,45.0,59.0,8.0
371,2004-03-26,5:00:00,0.8,52.0,3.0,72.0,73.0,7.7
372,2004-03-26,6:00:00,0.9,64.0,4.0,103.0,78.0,8.0
373,2004-03-26,7:00:00,1.6,88.0,6.7,132.0,90.0,8.5
374,2004-03-26,8:00:00,3.4,375.0,16.7,239.0,110.0,9.8
375,2004-03-26,9:00:00,3.8,592.0,19.3,275.0,114.0,11.2
376,2004-03-26,10:00:00,3.1,357.0,14.8,232.0,119.0,14.8
377,2004-03-26,11:00:00,2.7,296.0,13.4,180.0,121.0,16.8
378,2004-03-26,12:00:00,2.0,181.0,11.0,112.0,97.0,19.2
379,2004-03-26,13:00:00,2.3,211.0,12.5,116.0,99.0,19.1
380,2004-03-26,14:00:00,1.9,199.0,8.4,103.0,85.0,16.3
381,2004-03-26,15:00:00,1.3,81.0,5.3,89.0,75.0,14.2
382,2004-03-26,16:00:00,1.9,143.0,8.8,112.0,87.0,13.4
383,2004-03-26,17:00:00,2.3,247.0,11.2,127.0,102.0,14.2
384,2004-03-26,18:00:00,2.4,239.0,11.6,125.0,105.0,12.1
385,2004-03-26,19:00:00,2.7,267.0,12.4,120.0,98.0,10.4
386,2004-03-26,20:00:00,2.6,261.0,10.6,120.0,93.0,10.0
387,2004-03-26,21:00:00,1.5,97.0,6.0,99.0,91.0,9.8
388,2004-03-26,22:00:00,1.2,66.0,4.6,79.0,85.0,9.7
389,2004-03-26,23:00:00,1.1,60.0,4.1,66.0,74.0,9.9
390,2004-03-27,0:00:00,1.5,77.0,5.2,94.0,87.0,9.4
391,2004-03-27,1:00:00,1.0,57.0,3.2,70.0,79.0,8.6
392,2004-03-27,2:00:00,1.2,65.0,4.5,75.0,78.0,8.1
395,2004-03-27,5:00:00,0.8,27.0,1.9,32.0,48.0,8.2
396,2004-03-27,6:00:00,0.9,25.0,2.4,54.0,59.0,6.3
397,2004-03-27,7:00:00,1.1,42.0,3.3,68.0,65.0,7.2
398,2004-03-27,8:00:00,1.5,78.0,6.7,98.0,71.0,7.2
399,2004-03-27,9:00:00,1.8,128.0,8.5,128.0,84.0,11.1
400,2004-03-27,10:00:00,2.1,184.0,9.7,129.0,93.0,15.5
401,2004-03-27,11:00:00,2.1,156.0,9.4,130.0,99.0,17.8
402,2004-03-27,12:00:00,1.9,176.0,9.0,111.0,93.0,17.6
403,2004-03-27,13:00:00,2.1,232.0,10.0,106.0,96.0,19.1
404,2004-03-27,14:00:00,2.5,305.0,12.6,137.0,114.0,17.7
405,2004-03-27,15:00:00,1.9,150.0,7.6,113.0,101.0,17.8
406,2004-03-27,16:00:00,2.2,188.0,11.8,122.0,108.0,18.7
407,2004-03-27,17:00:00,2.3,221.0,11.2,137.0,117.0,17.1
408,2004-03-27,18:00:00,2.7,219.0,12.4,165.0,125.0,15.8
409,2004-03-27,19:00:00,3.0,306.0,12.9,196.0,133.0,14.7
410,2004-03-27,20:00:00,2.8,270.0,12.2,174.0,119.0,13.6
411,2004-03-27,21:00:00,2.2,231.0,8.8,140.0,107.0,12.5
412,2004-03-27,22:00:00,1.6,125.0,6.8,102.0,96.0,11.8
413,2004-03-27,23:00:00,2.1,122.0,8.6,130.0,105.0,10.9
414,2004-03-28,0:00:00,2.3,161.0,8.9,121.0,102.0,10.9
415,2004-03-28,1:00:00,2.3,101.0,8.3,111.0,97.0,10.3
416,2004-03-28,2:00:00,1.7,95.0,6.3,87.0,79.0,9.3
418,2004-03-28,4:00:00,1.3,96.0,5.1,77.0,69.0,8.3
419,2004-03-28,5:00:00,0.8,54.0,2.6,39.0,52.0,9.6
420,2004-03-28,6:00:00,1.1,63.0,3.6,77.0,62.0,7.7
421,2004-03-28,7:00:00,1.4,72.0,3.6,91.0,69.0,7.4
422,2004-03-28,8:00:00,1.3,91.0,4.7,105.0,75.0,9.7
423,2004-03-28,9:00:00,1.9,127.0,7.5,133.0,83.0,12.5
424,2004-03-28,10:00:00,2.3,193.0,9.0,128.0,94.0,16.8
425,2004-03-28,11:00:00,2.3,188.0,9.5,126.0,96.0,19.2
426,2004-03-28,12:00:00,1.8,151.0,7.7,92.0,86.0,21.3
427,2004-03-28,13:00:00,1.4,103.0,5.7,66.0,72.0,21.2
428,2004-03-28,14:00:00,1.0,55.0,3.8,50.0,53.0,18.6
429,2004-03-28,15:00:00,1.4,104.0,4.8,70.0,65.0,18.0
430,2004-03-28,16:00:00,1.3,116.0,4.3,73.0,70.0,18.2
431,2004-03-28,17:00:00,1.3,93.0,4.1,77.0,75.0,17.0
432,2004-03-28,18:00:00,1.4,93.0,4.7,86.0,86.0,15.6
433,2004-03-28,19:00:00,1.9,155.0,6.2,93.0,94.0,14.1
434,2004-03-28,20:00:00,1.8,115.0,5.5,105.0,103.0,13.4
435,2004-03-28,21:00:00,1.1,75.0,3.3,67.0,81.0,12.3
436,2004-03-28,22:00:00,1.1,65.0,3.2,63.0,80.0,11.9
437,2004-03-28,23:00:00,1.1,57.0,2.9,63.0,77.0,11.5
438,2004-03-29,0:00:00,0.9,40.0,2.2,46.0,58.0,10.6
439,2004-03-29,1:00:00,0.6,27.0,1.3,21.0,31.0,10.7
440,2004-03-29,2:00:00,0.5,23.0,1.1,22.0,38.0,10.4
442,2004-03-29,4:00:00,0.6,21.0,1.2,39.0,59.0,11.3
443,2004-03-29,5:00:00,0.7,33.0,1.7,55.0,70.0,10.1
444,2004-03-29,6:00:00,0.9,40.0,2.9,76.0,75.0,9.9
445,2004-03-29,7:00:00,2.9,279.0,14.3,181.0,103.0,8.1
446,2004-03-29,8:00:00,4.1,743.0,19.7,259.0,134.0,10.9
447,2004-03-29,9:00:00,1.5,147.0,5.5,118.0,98.0,11.8
448,2004-03-29,10:00:00,1.5,97.0,5.6,119.0,97.0,13.9
449,2004-03-29,11:00:00,1.5,118.0,5.8,123.0,98.0,15.6
450,2004-03-29,12:00:00,1.4,91.0,5.5,92.0,78.0,16.5
451,2004-03-29,13:00:00,1.6,146.0,6.5,91.0,83.0,17.5
452,2004-03-29,14:00:00,1.5,139.0,5.5,103.0,92.0,17.9
453,2004-03-29,15:00:00,1.4,155.0,5.2,102.0,81.0,18.2
454,2004-03-29,16:00:00,1.5,128.0,5.8,94.0,90.0,18.0
455,2004-03-29,17:00:00,1.9,166.0,7.9,98.0,95.0,17.0
456,2004-03-29,18:00:00,2.5,299.0,10.2,126.0,114.0,16.1
457,2004-03-29,19:00:00,2.1,163.0,8.2,108.0,106.0,14.5
458,2004-03-29,20:00:00,1.6,154.0,5.7,95.0,99.0,13.2
459,2004-03-29,21:00:00,1.2,80.0,3.8,78.0,90.0,13.1
460,2004-03-29,22:00:00,1.1,58.0,4.0,61.0,82.0,13.5
461,2004-03-29,23:00:00,1.0,55.0,2.8,55.0,74.0,12.4
462,2004-03-30,0:00:00,1.0,33.0,2.6,57.0,76.0,13.1
463,2004-03-30,1:00:00,0.7,33.0,1.8,41.0,66.0,11.6
464,2004-03-30,2:00:00,0.7,32.0,1.7,46.0,73.0,10.5
467,2004-03-30,5:00:00,0.7,26.0,2.3,52.0,71.0,12.9
468,2004-03-30,6:00:00,1.1,86.0,5.3,111.0,98.0,11.3
469,2004-03-30,7:00:00,2.6,294.0,13.4,191.0,115.0,11.9
470,2004-03-30,8:00:00,4.0,664.0,23.8,244.0,130.0,13.3
471,2004-03-30,9:00:00,4.2,695.0,21.5,283.0,150.0,16.3
472,2004-03-30,10:00:00,4.7,735.0,21.0,320.0,159.0,17.9
473,2004-03-30,11:00:00,3.9,649.0,18.4,249.0,146.0,18.3
474,2004-03-30,12:00:00,3.7,586.0,18.9,219.0,138.0,20.8
475,2004-03-30,13:00:00,3.4,546.0,17.1,200.0,128.0,22.4
476,2004-03-30,14:00:00,2.2,245.0,10.4,138.0,97.0,20.9
477,2004-03-30,15:00:00,1.9,178.0,8.0,118.0,91.0,19.1
478,2004-03-30,16:00:00,1.6,130.0,6.2,99.0,81.0,18.1
479,2004-03-30,17:00:00,2.1,151.0,9.7,112.0,99.0,17.3
480,2004-03-30,18:00:00,2.2,272.0,9.6,117.0,101.0,15.8
481,2004-03-30,19:00:00,2.7,301.0,11.9,129.0,106.0,15.9
482,2004-03-30,20:00:00,2.4,237.0,8.7,132.0,102.0,15.9
483,2004-03-30,21:00:00,1.3,95.0,4.7,73.0,84.0,15.0
484,2004-03-30,22:00:00,1.2,68.0,3.8,68.0,81.0,15.1
485,2004-03-30,23:00:00,1.5,101.0,4.7,80.0,91.0,14.9
486,2004-03-31,0:00:00,1.3,81.0,3.8,68.0,82.0,14.8
487,2004-03-31,1:00:00,1.0,50.0,2.7,44.0,64.0,14.8
